acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid
VISp,Isocortex,51,47,35,880,2.987100887907539,50.0,50.0,48.0,52.10000000000003,300,0.000999000999000999,True,0.005688755688755689,True,48.0,56.049999999999955,1000
GU,Isocortex,4,4,3,69,1.6978131497173172,54.0,,,,0,0.7612387612387612,True,0.8300741811380109,False,52.00000000000001,142.00000000000003,1000
VISli,Isocortex,8,7,5,83,1.881610847934718,54.0,54.0,,,0,0.000999000999000999,True,0.005688755688755689,True,4.0,94.0,1000
SSp-n,Isocortex,7,7,3,72,1.2599489461314177,62.0,,,,0,0.6473526473526473,True,0.7251764628813809,False,22.0,122.0,1000
VISam,Isocortex,23,22,18,374,2.455667160467146,62.0,62.0,60.0,70.0,300,0.000999000999000999,True,0.005688755688755689,True,56.0,76.04999999999995,1000
VISpm,Isocortex,12,11,10,241,3.1343568813431792,64.0,64.0,62.0,80.0,300,0.000999000999000999,True,0.005688755688755689,True,62.0,82.0,1000
VISal,Isocortex,4,4,4,95,3.4470172444950924,66.0,,50.0,70.0,300,0.027972027972027972,True,0.07545086492454914,False,54.0,118.00000000000001,1000
VISpor,Isocortex,7,5,3,99,1.3286607427637107,70.0,70.0,,,0,0.16883116883116883,True,0.274685631828489,False,70.0,130.0,1000
VISa,Isocortex,47,41,33,940,1.1873121334279415,76.0,,,,0,0.22277722277722278,True,0.3382913382913383,False,52.00000000000001,116.0,1000
ECT,Isocortex,8,8,6,85,0.8931305571637023,80.0,,,,0,0.15284715284715283,True,0.2589559201129449,False,12.0,82.0,1000
TEa,Isocortex,10,10,7,166,0.8279072623197827,84.0,128.0,,,0,0.011988011988011988,True,0.039008610437181866,False,34.0,112.0,1000
RSPv,Isocortex,33,31,23,528,1.9244538045278672,92.0,114.0,,,0,0.07392607392607392,True,0.1416340668677117,False,40.0,120.0,1000
ACAd,Isocortex,24,23,21,369,2.5329062851947333,102.00000000000001,114.0,98.0,112.10000000000002,300,0.000999000999000999,True,0.005688755688755689,True,96.0,120.0,1000
ACAv,Isocortex,15,15,11,195,0.9949519849937458,102.00000000000001,,,,0,0.43656343656343655,True,0.5515649994177602,False,18.000000000000004,130.0,1000
AId,Isocortex,10,10,8,188,1.3131102834624315,102.00000000000001,,,,0,0.5914085914085914,True,0.6773115153003421,False,12.0,108.0,1000
AUDv,Isocortex,9,9,6,253,1.9101253455816924,102.00000000000001,136.0,90.0,140.0,300,0.01098901098901099,True,0.03693028283192218,False,14.0,140.0,1000
ORBm,Isocortex,9,8,8,313,1.6619481831426408,106.0,106.0,,,0,0.14885114885114886,True,0.2542873792873793,False,32.0,126.0,1000
ORBvl,Isocortex,9,9,8,669,3.9408135242579236,106.0,106.0,,,0,0.000999000999000999,True,0.005688755688755689,True,33.950000000000045,120.0,1000
RSPd,Isocortex,29,28,21,318,1.0898986787857203,110.0,,,,0,0.4885114885114885,True,0.5996697912865577,False,14.0,138.0,1000
SSp-ul,Isocortex,13,13,8,196,6.657959688762971,112.0,,,,0,0.11188811188811189,True,0.19773330118157703,False,110.0,132.04999999999995,1000
SSp-ll,Isocortex,9,9,6,130,3.128103791830873,114.0,136.0,,,0,0.12387612387612387,True,0.21520852029326604,False,110.0,132.0,1000
SSp-tr,Isocortex,14,14,10,303,1.2809996279776046,114.0,,,,0,0.5174825174825175,True,0.6240230357877418,False,100.0,136.0,1000
VISrl,Isocortex,7,7,3,75,1.6959350699309925,114.0,,,,0,0.32967032967032966,True,0.4475656793537588,False,14.0,122.0,1000
FRP,Isocortex,11,11,7,88,9.156370224215383,118.00000000000001,118.00000000000001,,,0,0.000999000999000999,True,0.005688755688755689,True,116.0,138.0,1000
PL,Isocortex,20,18,14,420,3.1774748052790347,118.00000000000001,136.0,,,0,0.002997002997002997,True,0.01396330941785487,False,98.0,130.0,1000
SSp-bfd,Isocortex,30,30,22,488,1.1518759375886765,118.00000000000001,,,,0,0.23076923076923078,True,0.3468064781933395,False,54.0,136.0,1000
RSPagl,Isocortex,26,24,17,310,1.598706112202752,120.0,,,,0,0.07592407592407592,True,0.14411514411514412,False,70.0,138.0,1000
AIv,Isocortex,6,6,6,149,1.0079797177299563,122.0,,,,0,0.7892107892107892,True,0.8560222845937131,False,26.000000000000004,122.0,1000
SSs,Isocortex,15,15,10,439,1.9795459636838482,122.0,122.0,,,0,0.03296703296703297,True,0.07950872656755009,False,102.00000000000001,132.0,1000
MOs,Isocortex,49,45,36,1293,4.434066602055901,124.0,124.0,120.0,128.0,300,0.000999000999000999,True,0.005688755688755689,True,118.00000000000001,130.0,1000
